Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Gravitational acceleration (m/s),Angle of attack (rad),Roll rate (rpm),Pitch rate (rpm),Yaw rate (rpm),Mass (g),Longitudinal moment of inertia (kgm),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Vertical orientation (zenith) (rad),Air pressure (Pa)
0,0,0,35.761,0,0,9.8257,1.3963,0,0,0,18553,6.611,NaN,199.83,NaN,0.023503,1465635,843,0.0031601,0.80982,0.0097128,0.57034,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
2e-3,7.0436e-5,0.071522,115.28,1.242e-5,0,9.8257,1.3875,0,0,0,18553,6.611,NaN,199.83,NaN,0.02354,1467967,2318.2,0.0036518,0.80965,0.011188,0.57017,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
4e-3,4.3838e-4,0.3021,126.65,7.7297e-5,0,9.8257,1.3593,0,0,0,18551,6.6107,NaN,199.83,NaN,0.023673,1476252,2529,0.0055587,0.80904,0.01684,0.56955,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
6e-3,0.0012829,0.55543,126.67,2.262e-4,0,9.8257,1.3288,0,0,0,18549,6.6104,NaN,199.82,NaN,0.02384,1486686,2529,0.0082673,0.80828,0.024695,0.56879,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
8e-3,0.0026264,0.8088,126.69,4.631e-4,0,9.8257,1.2987,0,0,0,18546,6.6101,NaN,199.82,NaN,0.024029,1498487,2529,0.011678,0.80742,0.034335,0.56793,0.11941,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.01,0.0044689,1.0622,126.71,7.8799e-4,0,9.8257,1.2691,0,0,0,18543,6.6097,NaN,199.82,NaN,0.02424,1511625,2529,0.015843,0.80648,0.045775,0.56699,0.11941,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.012,0.0068107,1.3157,126.73,0.0012009,0,9.8257,1.2401,0,0,0,18540,6.6093,NaN,199.81,NaN,0.024472,1526064,2529,0.020808,0.80545,0.058989,0.56596,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.014,0.0096517,1.5692,126.75,0.0017019,0,9.8257,1.2116,0,0,0,18537,6.6089,NaN,199.81,NaN,0.024723,1541770,2529,0.026611,0.80435,0.073912,0.56486,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.016,0.012992,1.8227,126.77,0.0022908,0,9.8257,1.1837,0,0,0,18534,6.6086,NaN,199.81,NaN,0.024995,1558705,2529,0.033285,0.80318,0.090449,0.56368,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.018,0.016832,2.0763,126.79,0.0029679,0,9.8257,1.1564,0,0,0,18531,6.6082,NaN,199.8,NaN,0.025286,1576829,2529,0.040853,0.80195,0.10848,0.56245,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.02,0.021171,2.3299,126.81,0.003733,0,9.8257,1.1298,0,0,0,18529,6.6078,NaN,199.8,NaN,0.025595,1596104,2529,0.049338,0.80066,0.12786,0.56115,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.022,0.02601,2.5836,126.83,0.0045862,0,9.8257,1.1038,0,0,0,18526,6.6075,NaN,199.8,NaN,0.025922,1616487,2529,0.058753,0.79931,0.14845,0.5598,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.024,0.031348,2.8373,126.85,0.0055275,0,9.8257,1.0784,0,0,0,18523,6.6071,NaN,199.79,NaN,0.026266,1637940,2529,0.069109,0.79792,0.17007,0.55841,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.026,0.037186,3.091,126.87,0.006557,0,9.8257,1.0537,0,0,0,18520,6.6067,NaN,199.79,NaN,0.026626,1660420,2529,0.080413,0.79648,0.19257,0.55697,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.028,0.043524,3.3448,126.9,0.0076745,0,9.8257,1.0297,0,0,0,18517,6.6064,NaN,199.79,NaN,0.027002,1683888,2529,0.092667,0.79501,0.21577,0.55549,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.03,0.050362,3.5986,126.92,0.0088802,0,9.8257,1.0064,0,0,0,18514,6.606,NaN,199.78,NaN,0.027394,1708303,2529,0.10587,0.79351,0.23952,0.55399,0.11942,0.1201,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.032,0.0577,3.8525,126.94,0.010174,0,9.8257,0.98373,0,0,0,18511,6.6056,NaN,199.78,NaN,0.0278,1733625,2529,0.12002,0.79198,0.26366,0.55246,0.11943,0.1201,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.034,0.065538,4.1064,126.96,0.011556,0,9.8257,0.96172,0,0,0,18508,6.6053,NaN,199.78,NaN,0.02822,1759817,2529,0.13511,0.79043,0.28804,0.5509,0.11943,0.1201,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.036,0.073876,4.3603,126.98,0.013026,0,9.8257,0.94036,0,0,0,18506,6.6049,NaN,199.78,NaN,0.028653,1786840,2529,0.15114,0.78886,0.31253,0.54932,0.11943,0.12011,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.038,0.082715,4.6143,127,0.014585,0,9.8257,0.91965,0,0,0,18503,6.6045,NaN,199.77,NaN,0.0291,1814658,2529,0.16809,0.78728,0.33701,0.54773,0.11943,0.12011,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.04,0.092053,4.8683,127.02,0.016231,0,9.8257,0.89957,0,0,0,18500,6.6042,NaN,199.77,NaN,0.029558,1843235,2529,0.18595,0.78568,0.36135,0.54613,0.11943,0.12011,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.042,0.10189,5.1224,127.04,0.017966,0,9.8257,0.8801,0,0,0,18497,6.6038,NaN,199.77,NaN,0.030028,1872538,2529,0.20472,0.78408,0.38546,0.54452,0.11943,0.12012,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.044,0.11223,5.3765,127.06,0.019789,0,9.8257,0.86124,0,0,0,18494,6.6034,NaN,199.76,NaN,0.030509,1902533,2529,0.22437,0.78247,0.40925,0.54291,0.11944,0.12012,NaN,NaN,NaN,NaN,NaN,1.3963,101324
