Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Gravitational acceleration (m/s),Angle of attack (rad),Roll rate (rpm),Pitch rate (rpm),Yaw rate (rpm),Mass (g),Longitudinal moment of inertia (kgm),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Vertical orientation (zenith) (rad),Air pressure (Pa)
0,0,0,35.765,0,0,9.8221,1.3963,0,0,0,18553,6.611,NaN,199.83,NaN,0.023503,1465635,843,0.0031601,0.80982,0.0097128,0.57034,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
2e-3,7.0443e-5,0.071529,115.28,1.2421e-5,0,9.8221,1.3875,0,0,0,18553,6.611,NaN,199.83,NaN,0.02354,1467967,2318.2,0.0036518,0.80965,0.011188,0.57017,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
4e-3,4.384e-4,0.30211,126.65,7.7302e-5,0,9.8221,1.3593,0,0,0,18551,6.6107,NaN,199.83,NaN,0.023673,1476253,2529,0.0055588,0.80904,0.01684,0.56955,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
6e-3,0.0012829,0.55545,126.67,2.2621e-4,0,9.8221,1.3288,0,0,0,18549,6.6104,NaN,199.82,NaN,0.02384,1486687,2529,0.0082675,0.80828,0.024696,0.56879,0.11941,0.12007,NaN,NaN,NaN,NaN,NaN,1.3963,101325
8e-3,0.0026265,0.80883,126.69,4.6312e-4,0,9.8221,1.2987,0,0,0,18546,6.6101,NaN,199.82,NaN,0.024029,1498489,2529,0.011678,0.80742,0.034336,0.56793,0.11941,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.01,0.0044691,1.0622,126.71,7.8802e-4,0,9.8221,1.2691,0,0,0,18543,6.6097,NaN,199.82,NaN,0.02424,1511626,2529,0.015843,0.80648,0.045777,0.56699,0.11941,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.012,0.0068109,1.3157,126.73,0.001201,0,9.8221,1.2401,0,0,0,18540,6.6093,NaN,199.81,NaN,0.024472,1526067,2529,0.020809,0.80545,0.058991,0.56596,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.014,0.009652,1.5692,126.75,0.0017019,0,9.8221,1.2116,0,0,0,18537,6.6089,NaN,199.81,NaN,0.024723,1541773,2529,0.026612,0.80435,0.073915,0.56486,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.016,0.012992,1.8228,126.78,0.0022909,0,9.8221,1.1837,0,0,0,18534,6.6086,NaN,199.81,NaN,0.024995,1558709,2529,0.033286,0.80318,0.090453,0.56368,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.018,0.016832,2.0763,126.8,0.002968,0,9.8221,1.1564,0,0,0,18531,6.6082,NaN,199.8,NaN,0.025286,1576834,2529,0.040855,0.80195,0.10848,0.56245,0.11942,0.12008,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.02,0.021172,2.33,126.82,0.0037331,0,9.8221,1.1297,0,0,0,18529,6.6078,NaN,199.8,NaN,0.025595,1596109,2529,0.04934,0.80066,0.12787,0.56115,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.022,0.026011,2.5836,126.84,0.0045864,0,9.8221,1.1037,0,0,0,18526,6.6075,NaN,199.8,NaN,0.025922,1616494,2529,0.058756,0.79931,0.14845,0.5598,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.024,0.031349,2.8373,126.86,0.0055277,0,9.8221,1.0784,0,0,0,18523,6.6071,NaN,199.79,NaN,0.026266,1637947,2529,0.069113,0.79792,0.17008,0.55841,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.026,0.037188,3.0911,126.88,0.0065572,0,9.8221,1.0537,0,0,0,18520,6.6067,NaN,199.79,NaN,0.026626,1660428,2529,0.080417,0.79648,0.19257,0.55697,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.028,0.043526,3.3449,126.9,0.0076748,0,9.8221,1.0297,0,0,0,18517,6.6064,NaN,199.79,NaN,0.027003,1683897,2529,0.092672,0.79501,0.21578,0.55549,0.11942,0.12009,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.03,0.050364,3.5987,126.92,0.0088805,0,9.8221,1.0064,0,0,0,18514,6.606,NaN,199.78,NaN,0.027394,1708313,2529,0.10588,0.79351,0.23953,0.55399,0.11942,0.1201,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.032,0.057702,3.8526,126.94,0.010174,0,9.8221,0.98372,0,0,0,18511,6.6056,NaN,199.78,NaN,0.0278,1733636,2529,0.12003,0.79198,0.26367,0.55245,0.11943,0.1201,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.034,0.06554,4.1065,126.96,0.011556,0,9.8221,0.96171,0,0,0,18508,6.6053,NaN,199.78,NaN,0.02822,1759829,2529,0.13512,0.79043,0.28805,0.5509,0.11943,0.1201,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.036,0.073878,4.3605,126.98,0.013027,0,9.8221,0.94035,0,0,0,18506,6.6049,NaN,199.78,NaN,0.028654,1786854,2529,0.15115,0.78886,0.31254,0.54932,0.11943,0.12011,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.038,0.082717,4.6145,127,0.014585,0,9.8221,0.91964,0,0,0,18503,6.6045,NaN,199.77,NaN,0.0291,1814673,2529,0.1681,0.78727,0.33702,0.54773,0.11943,0.12011,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.04,0.092056,4.8685,127.02,0.016232,0,9.8221,0.89956,0,0,0,18500,6.6042,NaN,199.77,NaN,0.029558,1843251,2529,0.18596,0.78568,0.36136,0.54613,0.11943,0.12011,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.042,0.1019,5.1226,127.04,0.017967,0,9.8221,0.88009,0,0,0,18497,6.6038,NaN,199.77,NaN,0.030028,1872555,2529,0.20473,0.78407,0.38548,0.54452,0.11943,0.12012,NaN,NaN,NaN,NaN,NaN,1.3963,101324
0.044,0.11223,5.3767,127.06,0.01979,0,9.8221,0.86123,0,0,0,18494,6.6034,NaN,199.76,NaN,0.030509,1902551,2529,0.22438,0.78247,0.40927,0.54291,0.11944,0.12012,NaN,NaN,NaN,NaN,NaN,1.3963,101324
