Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s),Position East of launch (m),Position North of launch (m),Gravitational acceleration (m/s),Angle of attack (rad),Roll rate (rpm),Pitch rate (rpm),Yaw rate (rpm),Mass (g),Longitudinal moment of inertia (kgm),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Vertical orientation (zenith) (rad),Air pressure (Pa)
0,0,0,35.761,0,0,9.8257,1.3963,0,0,0,18553,6.611,NaN,199.83,NaN,0.0088134,549613,843,5.1245e-4,0.93384,0.0112,0.69445,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
2e-3,7.0436e-5,0.071523,115.28,1.242e-5,0,9.8257,1.3729,0,0,0,18553,6.611,NaN,199.83,NaN,0.0088524,552039,2318.2,7.4172e-4,0.9332,0.016069,0.6938,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
4e-3,4.3838e-4,0.3021,126.65,7.7298e-5,0,9.8257,1.2991,0,0,0,18551,6.6107,NaN,199.83,NaN,0.0090101,561874,2529,0.001885,0.93062,0.03942,0.69123,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
6e-3,0.0012829,0.55543,126.67,2.262e-4,0,9.8257,1.2214,0,0,0,18549,6.6104,NaN,199.82,NaN,0.0092376,576066,2529,0.0039686,0.92701,0.078956,0.68761,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
8e-3,0.0026264,0.8088,126.69,4.631e-4,0,9.8257,1.1479,0,0,0,18546,6.6101,NaN,199.82,NaN,0.0095182,593561,2529,0.0070334,0.92271,0.1318,0.68332,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.01,0.0044689,1.0622,126.71,7.88e-4,0,9.8257,1.0789,0,0,0,18543,6.6097,NaN,199.82,NaN,0.0098472,614076,2529,0.011147,0.91788,0.19516,0.67848,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.012,0.0068107,1.3157,126.73,0.0012009,0,9.8257,1.0146,0,0,0,18540,6.6093,NaN,199.81,NaN,0.01022,637324,2529,0.016336,0.91266,0.26554,0.67326,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.014,0.0096517,1.5692,126.75,0.0017019,0,9.8257,0.95509,0,0,0,18537,6.6089,NaN,199.81,NaN,0.010632,663017,2529,0.022599,0.90717,0.33942,0.66777,0.11938,0.12001,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.016,0.012992,1.8227,126.77,0.0022908,0,9.8257,0.90017,0,0,0,18534,6.6086,NaN,199.81,NaN,0.011079,690884,2529,0.029913,0.90152,0.41375,0.66212,0.11939,0.12002,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.018,0.016832,2.0763,126.79,0.0029679,0,9.8257,0.84965,0,0,0,18531,6.6082,NaN,199.8,NaN,0.011557,720675,2529,0.03824,0.8958,0.4861,0.6564,0.11939,0.12002,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.02,0.021171,2.3299,126.81,0.003733,0,9.8257,0.80324,0,0,0,18529,6.6078,NaN,199.8,NaN,0.012061,752162,2529,0.047536,0.89008,0.55473,0.65068,0.11939,0.12002,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.022,0.02601,2.5836,126.83,0.0045862,0,9.8257,0.76063,0,0,0,18526,6.6075,NaN,199.8,NaN,0.01259,785144,2529,0.057752,0.88442,0.61853,0.64502,0.11939,0.12002,NaN,NaN,NaN,NaN,NaN,1.3963,101325
0.024,0.031348,2.8373,126.85,0.0055275,0,9.8257,0.72152,0,0,0,18523,6.6071,NaN,199.79,NaN,0.01314,819440,2529,0.06884,0.87886,0.67686,0.63945,0.11939,0.12002,NaN,NaN,NaN,NaN,NaN,1.3963,101325
